satellite_catalog_number,international_designator,epoch_year,epoch_day,mean_motion_derivative,mean_motion_derivative_2nd,bstar_drag_term,element_number,inclination,right_ascension,eccentricity,argument_of_perigee,mean_anomaly,mean_motion,revolution_number_at_epoch
32544,58.7692,19,.9579 001462,052.1865,08.5519,6.296686,228,06057AX,08078.3,370292,.0926079,11229-,12021-2 0,999
32546,06057AY,08,061.17051355,.12858295,10746-4,98664-2,999,058.9593,347.3361,0055442,031.8179,328.7084,16.10841492,129
32573,27.9598,54,.0940 212624,246.8650,89.4533,0.336791,0457,06057AZ,08116.3,740531,.0699410,11202-,13578-3 0,999
32579,06057BA,08,079.74436901,.03208551,11012-4,15198-3,999,058.6385,258.7234,0004666,244.7197,115.4628,16.42950200,417
32580,58.1682,84,.2358 002647,054.2899,06.3850,6.280372,327,06057BC,08089.3,476308,.1388654,10548-,35846-2 0,999
32582,06057BD,08,099.65484312,.52824336,11216-4,10803-1,999,058.6491,224.3778,0056894,051.2996,309.8016,16.25677627,669
32583,59.1517,39,.4338 007417,068.9155,36.6940,6.193985,630,06057BF,08067.5,015197,.0850332,11150-,18532-3 0,999
32585,06057BG,08,065.97436564,.05424347,10662-4,22254-2,999,058.3438,323.9038,0033891,072.6323,289.5103,16.21091398,210
32586,58.9198,00,.9948 003288,082.8278,77.7470,6.291506,304,06057BJ,08064.1,660386,.0832701,11103-,86837-3 0,999
32588,06057BK,08,068.03648677,.19059301,11020-4,12559-1,999,057.3237,329.1644,0303062,035.5724,328.9917,15.63501176,162
32589,59.5658,49,.8137 014079,061.6205,08.2219,5.921305,461,06057BM,08081.8,093658,.0273058,11152-,14682-3 0,999
32591,06057BN,08,103.18197626,.20556378,10209-4,83754-2,999,059.5753,223.1457,0105506,079.0078,286.4209,16.10432754,653
32592,58.5012,11,.6477 022205,028.6435,32.9350,5.841136,250,06057BQ,08127.2,550511,.1735139,10304-,40600-2 0,999
32594,06057BR,08,088.28929014,.16052095,10553-4,34257-2,999,058.6784,243.9072,0062858,089.9448,274.8262,16.24339185,486
32595,58.6699,67,.4838 009330,077.9375,13.2318,6.122619,412,06057BT,08085.5,997124,.0501881,11265-,22191-3 0,999
32597,06057BU,08,100.47617394,.33980744,10647-4,96446-2,999,058.6889,226.9211,0038704,082.4612,341.5840,16.24781421,587
32598,58.2687,91,.8969 005607,065.4769,97.2024,6.214705,282,06057BW,08083.5,236652,.4723632,10884-,73823-2 0,999
32600,06057BX,08,076.45255865,.19559248,11037-4,40740-2,999,059.3753,292.7539,0065620,047.5048,327.6971,16.24140485,305
32601,58.5004,28,.6984 005300,310.1317,65.6904,6.202427,2808,06057BZ,08149.6,293825,.0495889,10856-,86122-3 0,999
32603,06057CA,08,069.92055787,.60007908,11999-4,56273-2,999,058.6641,315.7177,0102662,033.6588,349.9880,16.21172458,200
32604,58.4644,06,.9024 003324,204.1887,56.2804,6.242760,1565,06057CC,08097.5,066257,.1067326,11127-,23050-2 0,999
32606,06057CD,08,099.58829116,.08609377,10469-4,34363-2,999,058.5039,190.1960,0075491,087.2666,279.3913,16.15911222,648
32607,58.2739,90,.3735 000966,167.7328,93.0417,6.536347,297,06057CF,08124.2,741789,.0445922,+11033-,+21812-3 0,999
32609,06057CG,08,069.07965860,.22220867,11319-4,50301-3,999,058.5543,309.0432,0011455,003.1599,357.9200,16.45518405,241
32610,57.9174,30,.7263 006104,176.7578,88.0704,6.400846,159,06057CJ,08072.7,805633,.2398501,11271-,73995-3 0,999
32612,06057CK,08,100.37807182,.18465430,11273-4,34298-3,999,058.3853,170.6648,0008735,069.0865,302.2922,16.46869306,741
32613,58.1407,58,.3097 004468,059.4374,03.4503,6.198109,423,06057CM,08072.0,599207,.0991548,11094-,86882-3 0,999
32615,06057CN,08,073.07772716,.09392349,10887-4,99731-3,999,058.6858,291.5198,0005965,041.8292,318.4853,16.36914226,290
32616,58.6216,48,.9564 000687,308.5027,51.6614,6.464526,432,06057CQ,08073.5,271778,.1139091,11029-,85408-4 0,999
32618,06057CR,08,068.07867756,.11968709,11274-4,33331-3,999,058.2751,312.1217,0006053,308.8344,051.9419,16.45127086,208
32619,56.6506,16,.8737 008047,092.2319,88.9998,6.121044,587,06057CT,08088.8,541324,.2789617,12066-,15749-1 0,999
32621,06057CU,08,070.92394831,.17458496,10415-4,25714-1,999,058.8801,316.1471,0180411,058.2687,007.6609,15.80654903,204
32622,59.4902,57,.0484 004680,067.7887,97.2722,6.253945,428,06057CW,08071.9,862096,.6874573,10971-,50854-2 0,999
32624,06057CX,08,064.56843716,.10859575,11421-4,35676-3,999,058.2723,328.5344,0017553,329.4739,033.8636,16.42837631,86
32625,57.5420,07,.1486 045413,045.7483,20.3180,5.247434,211,06057CZ,08121.8,232634,.0863612,11240-,65868-4 0,999
32627,06057DA,08,069.05621345,.06492391,10860-4,22179-2,999,058.3098,310.1841,0035851,021.8799,338.8673,16.23028322,142
32628,58.7256,20,.4534 000796,014.4980,52.3067,6.442822,513,06057DC,08088.7,537180,.0874210,10642-,22150-2 0,999
32630,06057DD,08,070.07189798,.09463302,10761-4,42503-2,999,058.4053,307.2786,0037464,060.4608,301.2537,16.19658465,210
32631,58.8649,34,.7201 006226,032.2578,29.5464,6.144465,112,06057DF,08085.1,770350,.1224043,11467-,19097-2 0,999
32633,06057DG,08,065.96774090,.20336953,10302-4,10429-1,999,060.4137,332.2356,0106206,060.7570,306.1879,16.07856942,144
32634,58.2519,47,.0019 002231,081.5179,25.9353,6.360259,433,06057DJ,08069.6,249077,.0547625,10923-,42188-3 0,999
32636,06057DK,08,065.95000006,.10685852,11509-4,18957-2,999,057.4320,321.7834,0022000,006.4116,354.2070,16.31196614,189
32637,58.5416,20,.0951 001959,096.0745,64.7272,6.348005,202,06057DM,08076.6,302831,.1022111,11110-,66041-3 0,999
32639,06057DN,08,084.46696318,.16755012,11231-4,19856-2,999,057.9216,242.4395,0019515,068.6602,332.1262,16.35210405,448
32640,55.7958,29,.9041 006305,093.6684,80.7474,6.235329,530,06057DQ,08066.8,190940,.2148325,10982-,17483-1 0,999
32642,06057DR,08,102.19752107,.11041657,10733-4,40973-2,999,056.4972,174.7718,0054101,130.8602,235.9972,16.19862946,682
32643,58.2591,15,.5939 002547,061.8550,00.7423,6.281537,77,06057DT,08065.0,339704,.1730632,10859-,10619-1 0,999
32645,06057DU,08,064.94386490,.01785699,10916-4,22262-3,999,058.1810,327.2566,0030096,173.8349,186.7243,16.33804250,81
32646,57.4002,27,.4809 003617,295.1248,77.9452,6.321409,1753,06057DW,08064.8,112851,.0347195,10844-,81939-3 0,999
32648,06057DX,08,065.08401975,.10430948,11060-4,14771-2,999,058.6443,327.7919,0018153,000.8304,359.3568,16.33690826,94
32649,58.3326,61,.7234 002903,068.5712,97.1495,6.318107,298,06057DZ,08170.3,790650,.0365780,11208-,97846-4 0,999
32651,06057EA,08,128.09320059,.03758093,10528-4,88498-3,999,058.6583,057.3604,0038957,134.1489,231.4717,16.26724626,1121
32652,58.9361,87,.5237 007551,057.0270,03.9881,6.103530,325,06057EC,08076.8,589724,.0000318,10074-,00000+0 0,999
32654,06057ED,08,075.02736781,.15993047,10454-4,92929-2,999,059.3710,296.0861,0069695,064.8222,297.8412,16.12494626,277
32655,57.9090,80,.5830 007326,071.3938,02.5073,6.113845,672,06057EF,08086.6,197067,.2743974,11227-,59234-2 0,999
32657,06057EG,08,282.70104623,.04974920,11109-4,92892-3,999,057.6164,128.0709,0024233,090.2146,272.6979,16.30519377,3487
32658,59.3878,17,.2441 004952,035.5956,32.9961,6.174509,203,06057EJ,08074.6,255333,.0945846,11148-,37159-2 0,999
32660,06057EK,08,114.24861185,.10017497,10416-4,31567-2,999,057.6616,120.6870,0060776,125.6317,236.6324,16.20725828,882
32661,58.2654,08,.0846 001695,104.4470,85.0113,6.322514,216,06057EM,08065.9,736176,.0898805,99008-,46183-2 0,999
32663,06057EN,08,070.95884382,.21544654,10831-4,59262-2,999,058.6855,306.7022,0030027,062.4538,302.2273,16.26004711,217
32664,58.9374,19,.1389 013430,066.4506,05.8157,5.960072,618,06057EQ,08092.4,610384,.1028808,10157-,68688-2 0,999
